slug,category,partner,label,destination_url,active,notes
airalo,esim,Airalo,Airalo eSIM,https://airalo.pxf.io/c/7011822/1268485/15608?subId1=guide&subId2=airalo-generic&u=https%3A%2F%2Fwww.airalo.com%2Fchina-esim,true,Generic China eSIM store — explicit Impact link so subId is not falsely tagged survival-kit for every surface
airalo-esim-7d-10gb,esim,Airalo,Airalo 7-day 10GB eSIM,https://airalo.pxf.io/c/7011822/1268485/15608?subId1=esim-guide&subId2=airalo-7d-10gb&u=https%3A%2F%2Fwww.airalo.com%2Fchina-esim%2Fchinacom-7days-10gb,true,Exact Airalo SKU via Impact — /china-esim/ path skips login wall
airalo-esim-7d-unlimited,esim,Airalo,Airalo 7-day unlimited eSIM,https://airalo.pxf.io/c/7011822/1268485/15608?subId1=esim-guide&subId2=airalo-7d-unlimited&u=https%3A%2F%2Fwww.airalo.com%2Fchina-esim%2Fchinacom-7days-unlimited,true,Exact Airalo SKU via Impact — /china-esim/ path skips login wall
airalo-esim-15d-20gb,esim,Airalo,Airalo 15-day 20GB eSIM,https://airalo.pxf.io/c/7011822/1268485/15608?subId1=esim-guide&subId2=airalo-15d-20gb&u=https%3A%2F%2Fwww.airalo.com%2Fchina-esim%2Fchinacom-15days-20gb,true,Exact Airalo SKU via Impact — /china-esim/ path skips login wall
trip-esim,esim,Trip.com,Trip.com eSIM,"https://us.trip.com/things-to-do/detail/57042119?Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D19664094",true,Trip.com eSIM options page; reserve direct checkout links for articles that name a specific plan
trip-esim-7d-3gb,esim,Trip.com,Trip.com 7-day daily 3GB eSIM,"https://www.trip.com/xthings-to-do/booking-activity?productid=57042119&actid=57042119&packageId=57073804&optid=57073818&count=1&locale=en-XX&curr=USD&Allianceid=7850389&SID=295364952&trip_sub1=esim-guide-7d-3gb&trip_sub3=D19660846",true,Exact Trip.com SKU
trip-esim-7d-100gb,esim,Trip.com,Trip.com 7-day daily 100GB eSIM,"https://www.trip.com/xthings-to-do/booking-activity?productid=57042119&actid=57042119&packageId=84748090&optid=84748574&count=1&locale=en-XX&curr=USD&Allianceid=7850389&SID=295364952&trip_sub1=esim-guide-7d-100gb&trip_sub3=D19660846",true,Exact Trip.com SKU
trip-esim-15d-3gb,esim,Trip.com,Trip.com 15-day daily 3GB eSIM,"https://www.trip.com/xthings-to-do/booking-activity?productid=57042119&actid=57042119&packageId=88144701&optid=88144783&count=1&locale=en-XX&curr=USD&Allianceid=7850389&SID=295364952&trip_sub1=esim-guide-15d-3gb&trip_sub3=D19660846",true,Exact Trip.com SKU
nordvpn,vpn,NordVPN,NordVPN,https://go.nordvpn.net/aff_c?offer_id=15&aff_id=146020&url_id=902,true,Primary VPN affiliate
expressvpn,vpn,ExpressVPN,ExpressVPN,https://go.expressvpn.com/c/7011822/1462856/16063,true,Secondary VPN affiliate
trip-hotels,hotels,Trip.com,Trip.com Hotels,"https://www.trip.com/hotels?Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D15737101",true,Main hotel booking entry
dali-blue-habitat-inn,hotels,Trip.com,Dali Blue Habitat Inn,"https://www.trip.com/hotels/detail/?cityEnName=Dali City&cityId=36&hotelId=41651122&checkIn=2026-09-08&checkOut=2026-09-15&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-M6zsTFJMEkdYCJ43DfuuuMQowGFrciHA9_1Yjpr6px8GQAgaxVDgE8hWCm3QKHRsbriwtsuZoWOMxg3DT9nfAKRsaNjDH9h75qvEl32MHIdICR7wSjywKmnUC5UyysHAvFJFgusWxhjK5Wyk6tVLIy0VEqySzJSVWyUgpzDFHSUUpJLU4GcoCsxNz80rwSINvIQs_EEihQkljhmQLWkpyYk1yak1iSGlJZANRqpqOUWexcUpRZEJSam1lSkgpUlZaYU5wKEg9KLQbKJIMFlfyAxhRBBTLz8yDaDVHEwhJzSlMhLgBa6JYKtcOwNvYRC1N07CcWhl9Af-xVkmBpYmXoYmWYxMrGcbqTWYJlFyubm3mYt4vFBdYCKWVDAwMDU0NjU1Ndg0SLtLQUcwtdE0szcwsTXQsjYyMzA0sLA42T_3ZvbjMxMlFg1BKMD_H08DY0N04qSk7KNssoqzBgPMUoZWhuYWFiYGhobmRkaq5nYZxinGEZkurk7GHiwR7E5mrmZGruEmXDxezsFykIjhKGD_ZSzKHBLopPRGRPPr0v5aAFkjOEyQXCGJEw-STW1DzdiIiM76IFjF2M3AKMHowRjBWMDYyMqxgZNjAy7mD8DwOMrxhBRgMAOySybyYCAAA&masterhotelid_tracelogid=100051355-0a8ffd78-496784-823260980&detailFilters=17|1~17~1*31|41651122~31~41651122*80|0|1~80~0*29|1~29~1|2&display=exavg&subStamp=448&isCT=true&isFlexible=F&locale=en-XX&Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D19665312",true,"Verified — Joy stayed here. South-gate Ancient Town branch (大理蓝栖客栈). Trip.com listing shows Guests Accepted: all countries/regions welcome. Deep link contains a hashed hoteluniquekey tied to the original search params — do not edit."
dali-panshan-tinghai-homestay,hotels,Trip.com,Dali Panshan Tinghai Homestay,"https://www.trip.com/hotels/detail/?cityEnName=Dali City&cityId=36&hotelId=112816688&checkIn=2026-09-08&checkOut=2026-09-15&adult=2&children=0&crn=1&ages=&curr=USD&barcurr=USD&hoteluniquekey=H4sIAAAAAAAA_-M6yMTFJMEktYuJo3fGvm-sQowGFrciHLmuLy6wnZTo4MkAAj4THAJ4CsFMgUKHRsZ17g-rRBYVOcxg3PDkqekKRsaNjECBde6Nvg47GJlOMIouYDo45ZnpKRZWjk9sEiyXWDYzRlcrZadWKlmZ6CiVZJbkpCpZKYU5hijpKKWkFicDOUBWYm5-aV4JkG2hZ2EE5JckVnimgHUkJ-Ykl-YklqSGVBYAdZrpKGUWO5cUZRYEpeZmlpSkAlWlJeYUp4LEg1KLgTLJYEElP6AxRVCBzPw8iHZDFLGwxJzSVIgDgBa6pULtMKyNfcTCFB37iYXhFwsLh4UEUxMrQxcrwyRWVo5NVRIsu1jZAi2djNycLrBKS8kbGhgYmBoam5rqGiRapBoZGiTqmliamVuY6poZmJpZaDycumtLm4mRiQKjlmB8iKeHt6G5cVJRclK2WUZZhQHjKUYpQ3MLCxMDQ0NzIyNTcz0L4xTjDMuQVCdnDxMP9iA2EzNDM2PDKBsuZme_SEFwRDB8sJdiDg12UZR5_chM6oGUgxZIzhAmFwhjRMLkk1hT83QjIjK-ixYwdjFyCzB6MEYwVjA2MDKuYmTYwMi4g_E_DDC-YgQZDQADkPU_HAIAAA&masterhotelid_tracelogid=100051355-0a8e210a-496785-60568&detailFilters=17|1~17~1*31|112816688~31~112816688*80|0|1~80~0*29|1~29~1|2&display=exavg&subStamp=715&isCT=true&isFlexible=F&locale=en-XX&Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D19665312",true,"Verified — Joy stayed here. Caicun / Erhai west-shore lakefront (大理畔山听海民宿, near the ecological corridor). Trip.com listing shows Guests Accepted: all countries/regions welcome. Note: listing states guest age must be 18-60. Deep link contains a hashed hoteluniquekey tied to the original search params — do not edit."
trip-tickets,tickets,Trip.com,Trip.com Tickets,"https://www.trip.com/things-to-do?Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D15737101",true,Attraction tickets search (no city assumed)
trip-trains,trains,Trip.com,Trip.com Trains,"https://www.trip.com/trains?Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D15737101",true,High-speed rail booking entry
trip-flight,flights,Trip.com,Trip.com Flights,"https://www.trip.com/flights?Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D18886170",true,International flights search (no origin city assumed)
wise,payments,Wise,Wise,https://wise.com/invite/ihpc/jiaol79,true,Money transfer / card invite
trip-home,general,Trip.com,Trip.com Home,"https://www.trip.com/?Allianceid=7850389&SID=295364952&trip_sub1=&trip_sub3=D16978782",true,General Trip.com homepage entry
