Country,Region,rule_type,Max Stay Hours,Max Stay Days,Requirement
Albania,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Argentina,Americas,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Australia,Oceania,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Austria,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Belarus,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Belgium,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Bosnia and Herzegovina,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Brazil,Americas,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Brunei Darussalam,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Bulgaria,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Canada,Americas,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Chile,Americas,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Croatia,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Cyprus,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Czech Republic,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Denmark,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Estonia,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Finland,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
France,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Germany,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Greece,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Hungary,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Iceland,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Indonesia,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Ireland,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Italy,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Japan,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Kyrgyzstan,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Latvia,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Lithuania,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Luxembourg,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Malta,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Mexico,Americas,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Monaco,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Montenegro,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Netherlands,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
New Zealand,Oceania,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
North Macedonia,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Norway,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Poland,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Portugal,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Qatar,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Republic of Korea,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Romania,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Russian Federation,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Serbia,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Singapore,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Slovakia,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Slovenia,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Spain,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Sweden,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Switzerland,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Ukraine,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
United Arab Emirates,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
United Kingdom of Great Britain and Northern Ireland,Europe,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
United States,Americas,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
Vietnam,Asia,transit_240_visa_free,240,10,Must transit to a third country or region with a confirmed onward ticket
